make,model,mtow,ew,speed,pax,s,range,type,propulsion,price,engine_weight,n_engines
Boeing,727,169000,87696,495,106,1650,2250,narrow,turbofan,59200000,4741,3
Boeing,737,187700,98496,453,175,1341.2,3000,narrow,turbofan,89000000,5359,2
Boeing,737Max,194700,99360,453,175,1370,3700,narrow,turbofan,124800000,6130,2
Boeing,747,987000,485300,504,467,5960,7730,wide,turbofan,378000000,13500,4
Boeing,757,273000,141860,495,243,1994,3400,narrow,turbofan,215000000,8169,2
Boeing,767,450000,229000,470,243,3130,3290,wide,turbofan,217000000,9420,2
Boeing,777,766000,320000,470,301,4702,8555,wide,turbofan,375500000,19316,2
Boeing,787,560000,284000,488,290,4058,7635,wide,turbofan,189000000,13492,2
Airbus,319,166000,90000,447,156,1318,3750,narrow,turbofan,89600000,5513,2
Airbus,320,172000,93900,447,186,1330,3300,narrow,turbofan,101000000,5513,2
Airbus,321,206000,107000,447,236,1380,3200,narrow,turbofan,118300000,5513,2
Airbus,330,533519,285300,470,300,3892,6350,wide,turbofan,273500000,13580,2
Airbus,340,840000,384000,495,350,4707,7800,wide,turbofan,318230000,11000,4
Airbus,350,696661,342000,488,369,4998,8700,wide,turbofan,378400000,16600,2
Airbus,380,1267658,661000,488,853,9100,8000,wide,turbofan,461240000,13770,4
Douglas,8,350000,143255,483,189,2752,5200,narrow,turbofan,48500000,4600,4
Douglas,9,121000,64675,484,135,1001,1300,narrow,turbofan,32300000,4741,2
Douglas,10,555000,270213,473,380,3647,5100,wide,turbofan,122000000,8176,3
Douglas,11,630500,248567,507,298,3648,3592,wide,turbofan,272300000,8776,3
Embraer,145,53131,27758,461,50,550.9,2000,regional,turbofan,24800000,1681,2
Embraer,175,89000,48259,450,88,783,2200,regional,turbofan,47700000,2600,2
Embraer,195,115280,61370,447,124,996,2300,regional,turbofan,56700000,3700,2
CRJ,100,53000,30500,424,50,520.4,1700,regional,turbofan,31600000,1670,2
CRJ,700,75000,44245,447,78,760,1378,regional,turbofan,43900000,2450,2
CRJ,900,84500,48160,447,90,765,1553,regional,turbofan,49300000,2450,2
Lockheed,L1011,510000,245400,525,246,3541,5345,wide,turbofan,124400000,11929,2
BAE,146,97500,56530,404,112,832,1800,regional,turbofan,37500000,1375,4
DeHavilland,Q200,36300,23000,289,37,585,1125,regional,turboprop,12000000,1062,2
DeHavilland,Q300,43000,26000,287,50,605,924,regional,turboprop,14300000,1062,2
DeHavilland,Q400,67200,39300,320,82,685,1100,regional,turboprop,32200000,1580,2
ATR,72,50700,29762,280,70,657,825,regional,turboprop,26000000,1580,2
ATR,42,40123,24360,261,48,587,794,regional,turboprop,19500000,1580,2
Dornier,228,14495,8598,223,20,340,214,regional,turboprop,10100000,336,2
DeHavilland,DHC-6,12500,7100,182,20,420,799,regional,turboprop,6900000,270,2
Saab,340,29002,17946,252,34,450,935,regional,turboprop,15000000,500,2
Saab,2000,50265,30424,359,55,600,1783,regional,turboprop,23800000,1740,2
Fokker,50,50265,30424,359,58,600,1549,regional,turboprop,28300000,1580,2
Embraer,120,25353,15587,298,30,424,940,regional,turboprop,9100000,1580,2
Dornier,328,30843,20062,330,33,430,1151,regional,turboprop,16150000,1580,2
BAE,41,24000,14272,295,29,350.8,774,regional,turboprop,11000000,336,2
Swearingen,Metro 23,16000,8737,311,19,310,594,regional,turboprop,2068000,336,2
