make,model,mtow,ew,speed,pax,s,range,type,propulsion,price,engine_weight,n_engines,deliveries
Boeing,727_100,169000,87696,495,106,1650,2250,narrow,turbofan,59200000,4741,3,571
Boeing,727_200,172000,97650,467,134,1650,1900,narrow,turbofan,59200000,4741,3,1260
Boeing,737_600,144500,80200,450,123,1341.2,3235,narrow,turbofan,89000000,5359,2,69
Boeing,737_700,154500,83000,455,128,1341.2,3010,narrow,turbofan,95000000,5359,2,1150
Boeing,737_800,174200,91300,455,160,1341.2,2935,narrow,turbofan,106100000,5359,2,4991
Boeing,737_900,187700,98495,453,177,1341.2,2950,narrow,turbofan,112600000,5359,2,557
Boeing,737_Max,194700,99360,453,175,1370,3700,narrow,turbofan,124800000,6130,2,387
Boeing,747_SP,700000,337100,507,276,5500,5830,wide,turbofan,140000000,13500,4,45
Boeing,747_100,735000,379500,507,366,5500,4620,wide,turbofan,146700000,13500,4,205
Boeing,747_200,833000,375100,507,366,5500,6560,wide,turbofan,175200000,13500,4,393
Boeing,747_300,833000,384000,507,400,5500,6330,wide,turbofan,219900000,13500,4,81
Boeing,747_400,910000,412300,504,416,5650,7670,wide,turbofan,378000000,13500,4,694
Boeing,747_8,987000,485300,504,467,5960,7730,wide,turbofan,386000000,13500,4,139
Boeing,757_200,255000,128840,496,239,1994,3915,narrow,turbofan,94000000,8169,2,994
Boeing,757_300,273000,141860,496,295,1994,3400,narrow,turbofan,115700000,8169,2,55
Boeing,767_200,315000,176650,470,174,3050,3900,wide,turbofan,217000000,9420,2,290
Boeing,767_300,350000,189750,470,210,3050,3900,wide,turbofan,217000000,9420,2,919
Boeing,767_400,450000,229000,470,243,3130,5625,wide,turbofan,217000000,9420,2,38
Boeing,777,766000,320000,470,301,4702,8555,wide,turbofan,375500000,19316,2,1642
Boeing,787_8,502500,264500,488,359,4058,7355,wide,turbofan,189000000,13492,2,374
Boeing,787_9,560000,284000,488,406,4058,7635,wide,turbofan,189000000,13492,2,549
Boeing,787_10,560000,298700,488,440,4058,6430,wide,turbofan,189000000,13492,2,58
Airbus,319,166000,90000,447,156,1318,3750,narrow,turbofan,89600000,5513,2,1482
Airbus,320,172000,93900,447,186,1330,3300,narrow,turbofan,101000000,5513,2,4770
Airbus,321,206000,107000,447,236,1380,3200,narrow,turbofan,118300000,5513,2,1791
Airbus,330,533519,285300,470,300,3892,6350,wide,turbofan,273500000,13580,2,1501
Airbus,340_200,606000,260000,495,210,3908,6700,wide,turbofan,194800000,11000,4,28
Airbus,340_300,610000,289000,495,250,3908,7300,wide,turbofan,275400000,11000,4,218
Airbus,340_500,840000,370000,495,270,4707,9000,wide,turbofan,303000000,11000,4,32
Airbus,340_600,840000,384000,495,320,4707,7800,wide,turbofan,318230000,11000,4,97
Airbus,350_900,617295,314000,488,315,4760,8100,wide,turbofan,329000000,16600,2,333
Airbus,350_1000,696661,342000,488,369,4998,8700,wide,turbofan,378400000,16600,2,46
Airbus,380,1267658,661000,488,853,9100,8000,wide,turbofan,461240000,13770,4,242
Douglas,8,350000,143255,483,189,2752,5200,narrow,turbofan,48500000,4600,4,556
Douglas,9,121000,64675,484,135,1001,1300,narrow,turbofan,32300000,4741,2,976
Douglas,10,555000,270213,473,380,3647,5100,wide,turbofan,122000000,8176,3,386
Douglas,11,630500,248567,507,298,3648,3592,wide,turbofan,272300000,8776,3,200
Embraer,145,53131,27758,461,50,550.9,2000,regional,turbofan,24800000,1681,2,1213
Embraer,175,89000,48259,450,88,783,2200,regional,turbofan,47700000,2600,2,639
Embraer,195,115280,61370,447,124,996,2300,regional,turbofan,56700000,3700,2,172
CRJ,100,53000,30500,424,50,520.4,1700,regional,turbofan,31600000,1670,2,1021
CRJ,700,75000,44245,447,78,760,1378,regional,turbofan,43900000,2450,2,330
CRJ,900,84500,48160,447,90,765,1553,regional,turbofan,49300000,2450,2,487
Lockheed,L1011,510000,245400,525,246,3541,5345,wide,turbofan,124400000,11929,2,250
BAE,146,97500,56530,404,112,832,1800,regional,turbofan,37500000,1375,4,387
DeHavilland,Q200,36300,23000,289,37,585,1125,regional,turboprop,12000000,1062,2,105
DeHavilland,Q300,43000,26000,287,50,605,924,regional,turboprop,14300000,1062,2,267
DeHavilland,Q400,67200,39300,320,82,685,1100,regional,turboprop,32200000,1580,2,645
ATR,72,50700,29762,280,70,657,825,regional,turboprop,26000000,1580,2,1000
ATR,42,40123,24360,261,48,587,794,regional,turboprop,19500000,1580,2,476
Dornier,228,14495,8598,223,20,340,214,regional,turboprop,10100000,336,2,380
DeHavilland,DHC-6,12500,7100,182,20,420,799,regional,turboprop,6900000,270,2,985
Saab,340,29002,17946,252,34,450,935,regional,turboprop,15000000,500,2,459
Saab,2000,50265,30424,359,55,600,1783,regional,turboprop,23800000,1740,2,63
Fokker,50,50265,30424,359,58,600,1549,regional,turboprop,28300000,1580,2,213
Embraer,120,25353,15587,298,30,424,940,regional,turboprop,9100000,1580,2,354
Dornier,328,30843,20062,330,33,430,1151,regional,turboprop,16150000,1580,2,217
BAE,41,24000,14272,295,29,350.8,774,regional,turboprop,11000000,336,2,100
Swearingen,Metro 23,16000,8737,311,19,310,594,regional,turboprop,2068000,336,2,600
